Year,113 Cause Name,Cause Name,State,Deaths,Age-adjusted Death Rate
2016,Alzheimer's disease (G30),Alzheimer's disease,Louisiana,2195,45.0
2016,Alzheimer's disease (G30),Alzheimer's disease,Maine,577,29.6
2016,Alzheimer's disease (G30),Alzheimer's disease,Maryland,1178,17.4
2016,Alzheimer's disease (G30),Alzheimer's disease,Massachusetts,1708,18.6
2016,Alzheimer's disease (G30),Alzheimer's disease,Michigan,4249,33.6
2016,Alzheimer's disease (G30),Alzheimer's disease,Minnesota,2219,31.8
2016,Alzheimer's disease (G30),Alzheimer's disease,Mississippi,1485,45.8
2016,Alzheimer's disease (G30),Alzheimer's disease,Missouri,2302,30.0
2016,Alzheimer's disease (G30),Alzheimer's disease,Montana,314,22.6
2016,Alzheimer's disease (G30),Alzheimer's disease,Nebraska,634,26.2
2016,Alzheimer's disease (G30),Alzheimer's disease,Nevada,686,24.6
2016,Alzheimer's disease (G30),Alzheimer's disease,New Hampshire,430,24.8
2016,Alzheimer's disease (G30),Alzheimer's disease,New Jersey,2435,21.1
2016,Alzheimer's disease (G30),Alzheimer's disease,New Mexico,583,23.5
2016,Alzheimer's disease (G30),Alzheimer's disease,New York,3349,13.1
2016,Alzheimer's disease (G30),Alzheimer's disease,North Carolina,4153,37.2
2016,Alzheimer's disease (G30),Alzheimer's disease,North Dakota,361,35.3
2016,Alzheimer's disease (G30),Alzheimer's disease,Ohio,5031,33.4
2016,Alzheimer's disease (G30),Alzheimer's disease,Oklahoma,1590,36.1
2016,Alzheimer's disease (G30),Alzheimer's disease,Oregon,1786,34.8
2016,Alzheimer's disease (G30),Alzheimer's disease,Pennsylvania,4185,21.7
2016,Alzheimer's disease (G30),Alzheimer's disease,Rhode Island,422,26.7
2016,Alzheimer's disease (G30),Alzheimer's disease,South Carolina,2481,45.3
2016,Alzheimer's disease (G30),Alzheimer's disease,South Dakota,449,37.1
2016,Alzheimer's disease (G30),Alzheimer's disease,Tennessee,3250,44.2
2016,Alzheimer's disease (G30),Alzheimer's disease,Texas,9135,37.8
2016,Alzheimer's disease (G30),Alzheimer's disease,United States,116103,30.3
2016,Alzheimer's disease (G30),Alzheimer's disease,Utah,904,39.3
2016,Alzheimer's disease (G30),Alzheimer's disease,Vermont,310,35.8
2016,Alzheimer's disease (G30),Alzheimer's disease,Virginia,2408,26.8
2016,Alzheimer's disease (G30),Alzheimer's disease,Washington,3269,40.7
2016,Alzheimer's disease (G30),Alzheimer's disease,West Virginia,786,31.7
2016,Alzheimer's disease (G30),Alzheimer's disease,Wisconsin,2256,29.6
2016,Alzheimer's disease (G30),Alzheimer's disease,Wyoming,138,21.2
2015,Alzheimer's disease (G30),Alzheimer's disease,Alabama,2282,41.8
2015,Alzheimer's disease (G30),Alzheimer's disease,Alaska,68,16.7
2015,Alzheimer's disease (G30),Alzheimer's disease,Arizona,2943,35.8
2015,Alzheimer's disease (G30),Alzheimer's disease,Arkansas,1457,41.5
2015,Alzheimer's disease (G30),Alzheimer's disease,California,15065,35.7
2015,Alzheimer's disease (G30),Alzheimer's disease,Colorado,1612,31.3
2015,Alzheimer's disease (G30),Alzheimer's disease,Connecticut,966,19.0
2015,Alzheimer's disease (G30),Alzheimer's disease,Delaware,264,22.6
2015,Alzheimer's disease (G30),Alzheimer's disease,District of Columbia,129,19.2
2015,Alzheimer's disease (G30),Alzheimer's disease,Florida,7031,21.8
2015,Alzheimer's disease (G30),Alzheimer's disease,Georgia,3714,42.4
2015,Alzheimer's disease (G30),Alzheimer's disease,Hawaii,422,19.5
2015,Alzheimer's disease (G30),Alzheimer's disease,Idaho,552,31.6
2015,Alzheimer's disease (G30),Alzheimer's disease,Illinois,3686,24.4
2015,Alzheimer's disease (G30),Alzheimer's disease,Indiana,2513,33.1
2015,Alzheimer's disease (G30),Alzheimer's disease,Iowa,1339,29.9
2015,Alzheimer's disease (G30),Alzheimer's disease,Kansas,865,23.5
2015,Alzheimer's disease (G30),Alzheimer's disease,Kentucky,1694,34.9
2015,Alzheimer's disease (G30),Alzheimer's disease,Louisiana,2018,42.5
2015,Alzheimer's disease (G30),Alzheimer's disease,Maine,544,28.4
2015,Alzheimer's disease (G30),Alzheimer's disease,Maryland,1095,16.4
2015,Alzheimer's disease (G30),Alzheimer's disease,Massachusetts,1815,20.2
2015,Alzheimer's disease (G30),Alzheimer's disease,Michigan,3771,30.1
2015,Alzheimer's disease (G30),Alzheimer's disease,Minnesota,1789,26.0
2015,Alzheimer's disease (G30),Alzheimer's disease,Mississippi,1402,44.1
2015,Alzheimer's disease (G30),Alzheimer's disease,Missouri,2173,28.7
2015,Alzheimer's disease (G30),Alzheimer's disease,Montana,277,20.7
2015,Alzheimer's disease (G30),Alzheimer's disease,Nebraska,598,24.8
2015,Alzheimer's disease (G30),Alzheimer's disease,Nevada,874,32.9
2015,Alzheimer's disease (G30),Alzheimer's disease,New Hampshire,432,25.5
2015,Alzheimer's disease (G30),Alzheimer's disease,New Jersey,2260,19.8
2015,Alzheimer's disease (G30),Alzheimer's disease,New Mexico,483,19.9
2015,Alzheimer's disease (G30),Alzheimer's disease,New York,3174,12.6
2015,Alzheimer's disease (G30),Alzheimer's disease,North Carolina,3803,34.8
2015,Alzheimer's disease (G30),Alzheimer's disease,North Dakota,376,36.7
2015,Alzheimer's disease (G30),Alzheimer's disease,Ohio,4643,31.1
2015,Alzheimer's disease (G30),Alzheimer's disease,Oklahoma,1498,34.7
2015,Alzheimer's disease (G30),Alzheimer's disease,Oregon,1652,33.0
2015,Alzheimer's disease (G30),Alzheimer's disease,Pennsylvania,4012,21.0
2015,Alzheimer's disease (G30),Alzheimer's disease,Rhode Island,453,28.8
2015,Alzheimer's disease (G30),Alzheimer's disease,South Carolina,2453,46.2
2015,Alzheimer's disease (G30),Alzheimer's disease,South Dakota,421,34.8
2015,Alzheimer's disease (G30),Alzheimer's disease,Tennessee,3122,43.4
2015,Alzheimer's disease (G30),Alzheimer's disease,Texas,8903,38.2
2015,Alzheimer's disease (G30),Alzheimer's disease,United States,110561,29.4
2015,Alzheimer's disease (G30),Alzheimer's disease,Utah,906,40.7
2015,Alzheimer's disease (G30),Alzheimer's disease,Vermont,298,35.1
2015,Alzheimer's disease (G30),Alzheimer's disease,Virginia,2248,25.6
2015,Alzheimer's disease (G30),Alzheimer's disease,Washington,3490,44.4
2015,Alzheimer's disease (G30),Alzheimer's disease,West Virginia,738,30.0
2015,Alzheimer's disease (G30),Alzheimer's disease,Wisconsin,2087,27.5
2015,Alzheimer's disease (G30),Alzheimer's disease,Wyoming,151,24.2
2014,Alzheimer's disease (G30),Alzheimer's disease,Alabama,1885,35.3
2014,Alzheimer's disease (G30),Alzheimer's disease,Alaska,68,17.2
2014,Alzheimer's disease (G30),Alzheimer's disease,Arizona,2485,31.6
2014,Alzheimer's disease (G30),Alzheimer's disease,Arkansas,1193,34.8
2014,Alzheimer's disease (G30),Alzheimer's disease,California,12644,30.9
2014,Alzheimer's disease (G30),Alzheimer's disease,Colorado,1364,27.4
2014,Alzheimer's disease (G30),Alzheimer's disease,Connecticut,923,18.4
2014,Alzheimer's disease (G30),Alzheimer's disease,Delaware,188,16.6
2014,Alzheimer's disease (G30),Alzheimer's disease,District of Columbia,119,18.3
2014,Alzheimer's disease (G30),Alzheimer's disease,Florida,5874,18.8
2014,Alzheimer's disease (G30),Alzheimer's disease,Georgia,2670,31.7
2014,Alzheimer's disease (G30),Alzheimer's disease,Hawaii,326,15.0
2014,Alzheimer's disease (G30),Alzheimer's disease,Idaho,376,22.4
2014,Alzheimer's disease (G30),Alzheimer's disease,Illinois,3266,21.9
2014,Alzheimer's disease (G30),Alzheimer's disease,Indiana,2204,29.4
2014,Alzheimer's disease (G30),Alzheimer's disease,Iowa,1313,29.6
2014,Alzheimer's disease (G30),Alzheimer's disease,Kansas,790,21.9
2014,Alzheimer's disease (G30),Alzheimer's disease,Kentucky,1523,32.1
2014,Alzheimer's disease (G30),Alzheimer's disease,Louisiana,1670,36.0
2014,Alzheimer's disease (G30),Alzheimer's disease,Maine,434,22.7
2014,Alzheimer's disease (G30),Alzheimer's disease,Maryland,934,14.5
2014,Alzheimer's disease (G30),Alzheimer's disease,Massachusetts,1688,19.0
2014,Alzheimer's disease (G30),Alzheimer's disease,Michigan,3349,27.0
2014,Alzheimer's disease (G30),Alzheimer's disease,Minnesota,1628,24.2
2014,Alzheimer's disease (G30),Alzheimer's disease,Mississippi,1098,35.2
2014,Alzheimer's disease (G30),Alzheimer's disease,Missouri,2053,27.4
2014,Alzheimer's disease (G30),Alzheimer's disease,Montana,253,19.2
2014,Alzheimer's disease (G30),Alzheimer's disease,Nebraska,515,21.9
2014,Alzheimer's disease (G30),Alzheimer's disease,Nevada,606,23.8
2014,Alzheimer's disease (G30),Alzheimer's disease,New Hampshire,396,24.0
2014,Alzheimer's disease (G30),Alzheimer's disease,New Jersey,1962,17.4
2014,Alzheimer's disease (G30),Alzheimer's disease,New Mexico,442,18.9
2014,Alzheimer's disease (G30),Alzheimer's disease,New York,2639,10.7
2014,Alzheimer's disease (G30),Alzheimer's disease,North Carolina,3246,30.5
2014,Alzheimer's disease (G30),Alzheimer's disease,North Dakota,364,36.2
2014,Alzheimer's disease (G30),Alzheimer's disease,Ohio,4083,27.7
2014,Alzheimer's disease (G30),Alzheimer's disease,Oklahoma,1227,28.9
2014,Alzheimer's disease (G30),Alzheimer's disease,Oregon,1411,28.5
2014,Alzheimer's disease (G30),Alzheimer's disease,Pennsylvania,3486,18.3
2014,Alzheimer's disease (G30),Alzheimer's disease,Rhode Island,403,25.9
2014,Alzheimer's disease (G30),Alzheimer's disease,South Carolina,1938,37.4
2014,Alzheimer's disease (G30),Alzheimer's disease,South Dakota,434,36.2
2014,Alzheimer's disease (G30),Alzheimer's disease,Tennessee,2672,38.1
2014,Alzheimer's disease (G30),Alzheimer's disease,Texas,6772,30.0
2014,Alzheimer's disease (G30),Alzheimer's disease,United States,93541,25.4
2014,Alzheimer's disease (G30),Alzheimer's disease,Utah,584,26.7
2014,Alzheimer's disease (G30),Alzheimer's disease,Vermont,266,31.9
2014,Alzheimer's disease (G30),Alzheimer's disease,Virginia,1775,20.8
2014,Alzheimer's disease (G30),Alzheimer's disease,Washington,3344,43.6
2014,Alzheimer's disease (G30),Alzheimer's disease,West Virginia,620,25.5
2014,Alzheimer's disease (G30),Alzheimer's disease,Wisconsin,1876,25.0
2014,Alzheimer's disease (G30),Alzheimer's disease,Wyoming,162,26.6
2013,Alzheimer's disease (G30),Alzheimer's disease,Alabama,1398,26.7
2013,Alzheimer's disease (G30),Alzheimer's disease,Alaska,72,18.9
2013,Alzheimer's disease (G30),Alzheimer's disease,Arizona,2383,31.7
2013,Alzheimer's disease (G30),Alzheimer's disease,Arkansas,918,27.2
2013,Alzheimer's disease (G30),Alzheimer's disease,California,11891,30.0
2013,Alzheimer's disease (G30),Alzheimer's disease,Colorado,1316,27.2
2013,Alzheimer's disease (G30),Alzheimer's disease,Connecticut,824,16.2
2013,Alzheimer's disease (G30),Alzheimer's disease,Delaware,192,17.6
2013,Alzheimer's disease (G30),Alzheimer's disease,District of Columbia,130,19.8
2013,Alzheimer's disease (G30),Alzheimer's disease,Florida,5093,16.9
2013,Alzheimer's disease (G30),Alzheimer's disease,Georgia,2048,25.0
2013,Alzheimer's disease (G30),Alzheimer's disease,Hawaii,260,12.6
2013,Alzheimer's disease (G30),Alzheimer's disease,Idaho,347,21.0
2013,Alzheimer's disease (G30),Alzheimer's disease,Illinois,2919,19.8
2013,Alzheimer's disease (G30),Alzheimer's disease,Indiana,2104,28.5
2013,Alzheimer's disease (G30),Alzheimer's disease,Iowa,1252,28.2
2013,Alzheimer's disease (G30),Alzheimer's disease,Kansas,742,20.8
2013,Alzheimer's disease (G30),Alzheimer's disease,Kentucky,1462,31.4
2013,Alzheimer's disease (G30),Alzheimer's disease,Louisiana,1505,32.9
2013,Alzheimer's disease (G30),Alzheimer's disease,Maine,401,21.6
2013,Alzheimer's disease (G30),Alzheimer's disease,Maryland,919,14.3
2013,Alzheimer's disease (G30),Alzheimer's disease,Massachusetts,1699,19.4
2013,Alzheimer's disease (G30),Alzheimer's disease,Michigan,3220,26.4
2013,Alzheimer's disease (G30),Alzheimer's disease,Minnesota,1427,21.5
2013,Alzheimer's disease (G30),Alzheimer's disease,Mississippi,925,30.1
2013,Alzheimer's disease (G30),Alzheimer's disease,Missouri,2026,27.5
2013,Alzheimer's disease (G30),Alzheimer's disease,Montana,267,20.7
2013,Alzheimer's disease (G30),Alzheimer's disease,Nebraska,557,23.6
2013,Alzheimer's disease (G30),Alzheimer's disease,Nevada,448,18.4
2013,Alzheimer's disease (G30),Alzheimer's disease,New Hampshire,351,21.5
2013,Alzheimer's disease (G30),Alzheimer's disease,New Jersey,1812,16.3
2013,Alzheimer's disease (G30),Alzheimer's disease,New Mexico,339,14.9
2013,Alzheimer's disease (G30),Alzheimer's disease,New York,2556,10.4
2013,Alzheimer's disease (G30),Alzheimer's disease,North Carolina,2872,27.7
2013,Alzheimer's disease (G30),Alzheimer's disease,North Dakota,363,36.6
2013,Alzheimer's disease (G30),Alzheimer's disease,Ohio,3798,26.0
2013,Alzheimer's disease (G30),Alzheimer's disease,Oklahoma,1145,27.6
2013,Alzheimer's disease (G30),Alzheimer's disease,Oregon,1312,27.2
2013,Alzheimer's disease (G30),Alzheimer's disease,Pennsylvania,3271,17.4
2013,Alzheimer's disease (G30),Alzheimer's disease,Rhode Island,346,22.3
2013,Alzheimer's disease (G30),Alzheimer's disease,South Carolina,1623,32.4
2013,Alzheimer's disease (G30),Alzheimer's disease,South Dakota,418,35.0
2013,Alzheimer's disease (G30),Alzheimer's disease,Tennessee,2536,36.9
2013,Alzheimer's disease (G30),Alzheimer's disease,Texas,5293,24.3
2013,Alzheimer's disease (G30),Alzheimer's disease,United States,84767,23.5
2013,Alzheimer's disease (G30),Alzheimer's disease,Utah,412,19.4
2013,Alzheimer's disease (G30),Alzheimer's disease,Vermont,269,32.9
2013,Alzheimer's disease (G30),Alzheimer's disease,Virginia,1642,19.7
2013,Alzheimer's disease (G30),Alzheimer's disease,Washington,3277,43.6
2013,Alzheimer's disease (G30),Alzheimer's disease,West Virginia,590,24.6
2013,Alzheimer's disease (G30),Alzheimer's disease,Wisconsin,1671,22.7
2013,Alzheimer's disease (G30),Alzheimer's disease,Wyoming,126,21.0
2012,Alzheimer's disease (G30),Alzheimer's disease,Alabama,1390,27.2
2012,Alzheimer's disease (G30),Alzheimer's disease,Alaska,102,27.2
2012,Alzheimer's disease (G30),Alzheimer's disease,Arizona,2160,30.0
2012,Alzheimer's disease (G30),Alzheimer's disease,Arkansas,931,27.9
2012,Alzheimer's disease (G30),Alzheimer's disease,California,11649,30.0
2012,Alzheimer's disease (G30),Alzheimer's disease,Colorado,1322,28.4
2012,Alzheimer's disease (G30),Alzheimer's disease,Connecticut,842,16.8
2012,Alzheimer's disease (G30),Alzheimer's disease,Delaware,213,20.2
2012,Alzheimer's disease (G30),Alzheimer's disease,District of Columbia,129,20.5
2012,Alzheimer's disease (G30),Alzheimer's disease,Florida,4422,15.2
2012,Alzheimer's disease (G30),Alzheimer's disease,Georgia,2074,26.2
2012,Alzheimer's disease (G30),Alzheimer's disease,Hawaii,249,12.4
2012,Alzheimer's disease (G30),Alzheimer's disease,Idaho,354,21.9
2012,Alzheimer's disease (G30),Alzheimer's disease,Illinois,2865,19.8
2012,Alzheimer's disease (G30),Alzheimer's disease,Indiana,2038,28.1
2012,Alzheimer's disease (G30),Alzheimer's disease,Iowa,1336,30.5
2012,Alzheimer's disease (G30),Alzheimer's disease,Kansas,789,22.5
2012,Alzheimer's disease (G30),Alzheimer's disease,Kentucky,1506,33.0
2012,Alzheimer's disease (G30),Alzheimer's disease,Louisiana,1399,31.6
2012,Alzheimer's disease (G30),Alzheimer's disease,Maine,432,23.5
2012,Alzheimer's disease (G30),Alzheimer's disease,Maryland,906,14.7
2012,Alzheimer's disease (G30),Alzheimer's disease,Massachusetts,1713,19.8
2012,Alzheimer's disease (G30),Alzheimer's disease,Michigan,3064,25.6
2012,Alzheimer's disease (G30),Alzheimer's disease,Minnesota,1445,22.2
2012,Alzheimer's disease (G30),Alzheimer's disease,Mississippi,923,30.7
2012,Alzheimer's disease (G30),Alzheimer's disease,Missouri,1863,25.9
2012,Alzheimer's disease (G30),Alzheimer's disease,Montana,265,20.8
2012,Alzheimer's disease (G30),Alzheimer's disease,Nebraska,570,24.4
2012,Alzheimer's disease (G30),Alzheimer's disease,Nevada,356,15.3
2012,Alzheimer's disease (G30),Alzheimer's disease,New Hampshire,392,25.1
2012,Alzheimer's disease (G30),Alzheimer's disease,New Jersey,1881,17.1
2012,Alzheimer's disease (G30),Alzheimer's disease,New Mexico,373,17.1
2012,Alzheimer's disease (G30),Alzheimer's disease,New York,2640,10.9
2012,Alzheimer's disease (G30),Alzheimer's disease,North Carolina,2850,28.4
2012,Alzheimer's disease (G30),Alzheimer's disease,North Dakota,364,36.6
2012,Alzheimer's disease (G30),Alzheimer's disease,Ohio,3935,27.4
2012,Alzheimer's disease (G30),Alzheimer's disease,Oklahoma,1069,26.3
2012,Alzheimer's disease (G30),Alzheimer's disease,Oregon,1326,27.9
2012,Alzheimer's disease (G30),Alzheimer's disease,Pennsylvania,3505,18.9
2012,Alzheimer's disease (G30),Alzheimer's disease,Rhode Island,299,19.8
2012,Alzheimer's disease (G30),Alzheimer's disease,South Carolina,1634,33.6
2012,Alzheimer's disease (G30),Alzheimer's disease,South Dakota,460,39.4
2012,Alzheimer's disease (G30),Alzheimer's disease,Tennessee,2434,36.3
2012,Alzheimer's disease (G30),Alzheimer's disease,Texas,5175,24.6
2012,Alzheimer's disease (G30),Alzheimer's disease,United States,83637,23.8
2012,Alzheimer's disease (G30),Alzheimer's disease,Utah,411,19.9
2012,Alzheimer's disease (G30),Alzheimer's disease,Vermont,284,35.3
2012,Alzheimer's disease (G30),Alzheimer's disease,Virginia,1712,21.2
2012,Alzheimer's disease (G30),Alzheimer's disease,Washington,3219,43.8
2012,Alzheimer's disease (G30),Alzheimer's disease,West Virginia,598,25.3
2012,Alzheimer's disease (G30),Alzheimer's disease,Wisconsin,1646,22.6
2012,Alzheimer's disease (G30),Alzheimer's disease,Wyoming,123,21.5
2011,Alzheimer's disease (G30),Alzheimer's disease,Alabama,1486,29.7
2011,Alzheimer's disease (G30),Alzheimer's disease,Alaska,72,20.5
2011,Alzheimer's disease (G30),Alzheimer's disease,Arizona,2348,33.7
2011,Alzheimer's disease (G30),Alzheimer's disease,Arkansas,1002,30.4
2011,Alzheimer's disease (G30),Alzheimer's disease,California,11555,30.7
2011,Alzheimer's disease (G30),Alzheimer's disease,Colorado,1307,29.0
2011,Alzheimer's disease (G30),Alzheimer's disease,Connecticut,813,16.4
2011,Alzheimer's disease (G30),Alzheimer's disease,Delaware,203,20.0
2011,Alzheimer's disease (G30),Alzheimer's disease,District of Columbia,120,19.6
2011,Alzheimer's disease (G30),Alzheimer's disease,Florida,4507,16.0
2011,Alzheimer's disease (G30),Alzheimer's disease,Georgia,2218,28.9
2011,Alzheimer's disease (G30),Alzheimer's disease,Hawaii,197,10.4
2011,Alzheimer's disease (G30),Alzheimer's disease,Idaho,409,25.7
2011,Alzheimer's disease (G30),Alzheimer's disease,Illinois,2910,20.4
2011,Alzheimer's disease (G30),Alzheimer's disease,Indiana,2058,28.9
2011,Alzheimer's disease (G30),Alzheimer's disease,Iowa,1406,32.4
2011,Alzheimer's disease (G30),Alzheimer's disease,Kansas,795,22.6
2011,Alzheimer's disease (G30),Alzheimer's disease,Kentucky,1459,32.5
2011,Alzheimer's disease (G30),Alzheimer's disease,Louisiana,1406,32.4
2011,Alzheimer's disease (G30),Alzheimer's disease,Maine,481,26.8
2011,Alzheimer's disease (G30),Alzheimer's disease,Maryland,922,15.1
2011,Alzheimer's disease (G30),Alzheimer's disease,Massachusetts,1819,21.2
2011,Alzheimer's disease (G30),Alzheimer's disease,Michigan,2876,24.6
2011,Alzheimer's disease (G30),Alzheimer's disease,Minnesota,1451,22.8
2011,Alzheimer's disease (G30),Alzheimer's disease,Mississippi,975,33.6
2011,Alzheimer's disease (G30),Alzheimer's disease,Missouri,1927,27.4
2011,Alzheimer's disease (G30),Alzheimer's disease,Montana,258,20.7
2011,Alzheimer's disease (G30),Alzheimer's disease,Nebraska,597,26.0
2011,Alzheimer's disease (G30),Alzheimer's disease,Nevada,349,15.8
2011,Alzheimer's disease (G30),Alzheimer's disease,New Hampshire,395,25.7
2011,Alzheimer's disease (G30),Alzheimer's disease,New Jersey,1960,18.2
2011,Alzheimer's disease (G30),Alzheimer's disease,New Mexico,423,19.8
2011,Alzheimer's disease (G30),Alzheimer's disease,New York,2563,10.8
2011,Alzheimer's disease (G30),Alzheimer's disease,North Carolina,2828,29.3
2011,Alzheimer's disease (G30),Alzheimer's disease,North Dakota,410,41.5
2011,Alzheimer's disease (G30),Alzheimer's disease,Ohio,4037,28.5
2011,Alzheimer's disease (G30),Alzheimer's disease,Oklahoma,1130,28.2
2011,Alzheimer's disease (G30),Alzheimer's disease,Oregon,1324,28.3
2011,Alzheimer's disease (G30),Alzheimer's disease,Pennsylvania,3496,19.1
2011,Alzheimer's disease (G30),Alzheimer's disease,Rhode Island,320,21.1
2011,Alzheimer's disease (G30),Alzheimer's disease,South Carolina,1560,33.1
2011,Alzheimer's disease (G30),Alzheimer's disease,South Dakota,424,36.7
2011,Alzheimer's disease (G30),Alzheimer's disease,Tennessee,2589,39.5
2011,Alzheimer's disease (G30),Alzheimer's disease,Texas,5415,26.6
2011,Alzheimer's disease (G30),Alzheimer's disease,United States,84974,24.7
2011,Alzheimer's disease (G30),Alzheimer's disease,Utah,402,20.0
2011,Alzheimer's disease (G30),Alzheimer's disease,Vermont,257,32.5
2011,Alzheimer's disease (G30),Alzheimer's disease,Virginia,1807,23.1
2011,Alzheimer's disease (G30),Alzheimer's disease,Washington,3138,43.4
2011,Alzheimer's disease (G30),Alzheimer's disease,West Virginia,610,26.2
2011,Alzheimer's disease (G30),Alzheimer's disease,Wisconsin,1807,25.3
2011,Alzheimer's disease (G30),Alzheimer's disease,Wyoming,153,27.7
2010,Alzheimer's disease (G30),Alzheimer's disease,Alabama,1523,31.2
2010,Alzheimer's disease (G30),Alzheimer's disease,Alaska,85,25.9
2010,Alzheimer's disease (G30),Alzheimer's disease,Arizona,2327,35.3
