Year,113 Cause Name,Cause Name,State,Deaths,Age-adjusted Death Rate
41,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,South Carolina,3.147,602
42,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,South Dakota,537,561
43,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Tennessee,4.435,630
44,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Texas,10.763,388
45,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Utah,1.238,442
46,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Vermont,394,569
47,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Virginia,3.922,440
48,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Washington,3.455,440
49,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,West Virginia,1.892,1003
50,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Wisconsin,3.746,583
51,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Wyoming,348,569
52,All Causes,All causes,Alabama,53.238,9177
53,All Causes,All causes,Alaska,4.411,7088
54,All Causes,All causes,Arizona,57.758,6785
55,All Causes,All causes,Arkansas,32.588,9001
56,All Causes,All causes,California,268.189,6187
57,All Causes,All causes,Colorado,38.063,6634
58,All Causes,All causes,Connecticut,31.312,6512
59,All Causes,All causes,Delaware,9.178,7496
60,All Causes,All causes,District of Columbia,4.965,7254
61,All Causes,All causes,Florida,203.636,6721
62,All Causes,All causes,Georgia,83.098,7937
63,All Causes,All causes,Hawaii,11.39,5849
64,All Causes,All causes,Idaho,14.011,7418
65,All Causes,All causes,Illinois,109.721,7242
66,All Causes,All causes,Indiana,65.597,8486
67,All Causes,All causes,Iowa,30.53,7370
68,All Causes,All causes,Kansas,27.063,7712
69,All Causes,All causes,Kentucky,48.212,9299
70,All Causes,All causes,Louisiana,45.804,8811
71,All Causes,All causes,Maine,14.676,7716
72,All Causes,All causes,Maryland,49.926,7181
73,All Causes,All causes,Massachusetts,58.803,6771
74,All Causes,All causes,Michigan,97.602,7835
75,All Causes,All causes,Minnesota,44.371,6564
76,All Causes,All causes,Mississippi,32.28,9513
77,All Causes,All causes,Missouri,61.876,8201
78,All Causes,All causes,Montana,10.2,7575
79,All Causes,All causes,Nebraska,16.878,7260
80,All Causes,All causes,Nevada,24.657,7655
81,All Causes,All causes,New Hampshire,12.504,7173
82,All Causes,All causes,New Jersey,74.846,6675
83,All Causes,All causes,New Mexico,18.673,7547
84,All Causes,All causes,New York,155.358,6236
85,All Causes,All causes,North Carolina,93.157,7856
86,All Causes,All causes,North Dakota,6.415,6927
87,All Causes,All causes,Ohio,123.648,8497
88,All Causes,All causes,Oklahoma,40.452,9024
89,All Causes,All causes,Oregon,36.624,7172
90,All Causes,All causes,Pennsylvania,135.656,7773
91,All Causes,All causes,Rhode Island,10.157,7134
92,All Causes,All causes,South Carolina,49.441,8280
93,All Causes,All causes,South Dakota,7.996,7366
94,All Causes,All causes,Tennessee,70.096,8971
95,All Causes,All causes,Texas,198.106,7357
96,All Causes,All causes,Utah,18.035,7001
97,All Causes,All causes,Vermont,6.007,7149
98,All Causes,All causes,Virginia,68.579,7194
99,All Causes,All causes,Washington,56.995,6886
100,All Causes,All causes,West Virginia,23.276,9571
101,All Causes,All causes,Wisconsin,52.681,7220
102,All Causes,All causes,Wyoming,4.768,7146
103,Alzheimer's disease (G30),Alzheimer's disease,Alabama,2.563,452
104,Alzheimer's disease (G30),Alzheimer's disease,Alaska,98,221
105,Alzheimer's disease (G30),Alzheimer's disease,Arizona,3.058,351
106,Alzheimer's disease (G30),Alzheimer's disease,Arkansas,1.436,394
107,Alzheimer's disease (G30),Alzheimer's disease,California,16.238,371
108,Alzheimer's disease (G30),Alzheimer's disease,Colorado,1.83,342
109,Alzheimer's disease (G30),Alzheimer's disease,Connecticut,1.077,204
110,Alzheimer's disease (G30),Alzheimer's disease,Delaware,377,306
111,Alzheimer's disease (G30),Alzheimer's disease,District of Columbia,125,176
112,Alzheimer's disease (G30),Alzheimer's disease,Florida,6.98,207
113,Alzheimer's disease (G30),Alzheimer's disease,Georgia,4.29,460
114,Alzheimer's disease (G30),Alzheimer's disease,Hawaii,465,197
115,Alzheimer's disease (G30),Alzheimer's disease,Idaho,672,366
116,Alzheimer's disease (G30),Alzheimer's disease,Illinois,4.021,256
117,Alzheimer's disease (G30),Alzheimer's disease,Indiana,2.771,353
118,Alzheimer's disease (G30),Alzheimer's disease,Iowa,1.597,353
119,Alzheimer's disease (G30),Alzheimer's disease,Kansas,894,243
120,Alzheimer's disease (G30),Alzheimer's disease,Kentucky,1.765,350
121,Alzheimer's disease (G30),Alzheimer's disease,Louisiana,2.188,437
122,Alzheimer's disease (G30),Alzheimer's disease,Maine,601,304
123,Alzheimer's disease (G30),Alzheimer's disease,Maryland,1.191,171
124,Alzheimer's disease (G30),Alzheimer's disease,Massachusetts,1.841,199
125,Alzheimer's disease (G30),Alzheimer's disease,Michigan,4.428,345
126,Alzheimer's disease (G30),Alzheimer's disease,Minnesota,2.474,349
127,Alzheimer's disease (G30),Alzheimer's disease,Mississippi,1.626,496
128,Alzheimer's disease (G30),Alzheimer's disease,Missouri,2.545,323
129,Alzheimer's disease (G30),Alzheimer's disease,Montana,285,209
130,Alzheimer's disease (G30),Alzheimer's disease,Nebraska,698,285
131,Alzheimer's disease (G30),Alzheimer's disease,Nevada,779,273
132,Alzheimer's disease (G30),Alzheimer's disease,New Hampshire,436,248
133,Alzheimer's disease (G30),Alzheimer's disease,New Jersey,2.829,236
134,Alzheimer's disease (G30),Alzheimer's disease,New Mexico,572,227
135,Alzheimer's disease (G30),Alzheimer's disease,New York,3.521,132
136,Alzheimer's disease (G30),Alzheimer's disease,North Carolina,4.289,373
137,Alzheimer's disease (G30),Alzheimer's disease,North Dakota,387,365
138,Alzheimer's disease (G30),Alzheimer's disease,Ohio,5.117,336
139,Alzheimer's disease (G30),Alzheimer's disease,Oklahoma,1.752,394
140,Alzheimer's disease (G30),Alzheimer's disease,Oregon,1.85,360
141,Alzheimer's disease (G30),Alzheimer's disease,Pennsylvania,4.213,217
142,Alzheimer's disease (G30),Alzheimer's disease,Rhode Island,435,273
143,Alzheimer's disease (G30),Alzheimer's disease,South Carolina,2.549,450
144,Alzheimer's disease (G30),Alzheimer's disease,South Dakota,444,369
145,Alzheimer's disease (G30),Alzheimer's disease,Tennessee,3.522,467
146,Alzheimer's disease (G30),Alzheimer's disease,Texas,9.545,385
147,Alzheimer's disease (G30),Alzheimer's disease,Utah,991,421
148,Alzheimer's disease (G30),Alzheimer's disease,Vermont,370,429
149,Alzheimer's disease (G30),Alzheimer's disease,Virginia,2.549,276
150,Alzheimer's disease (G30),Alzheimer's disease,Washington,3.71,460
151,Alzheimer's disease (G30),Alzheimer's disease,West Virginia,770,306
152,Alzheimer's disease (G30),Alzheimer's disease,Wisconsin,2.428,316
153,Alzheimer's disease (G30),Alzheimer's disease,Wyoming,212,327
154,Cerebrovascular diseases (I60-I69),Stroke,Alabama,2.931,500
155,Cerebrovascular diseases (I60-I69),Stroke,Alaska,190,351
156,Cerebrovascular diseases (I60-I69),Stroke,Arizona,2.681,308
157,Cerebrovascular diseases (I60-I69),Stroke,Arkansas,1.612,438
158,Cerebrovascular diseases (I60-I69),Stroke,California,16.355,376
159,Cerebrovascular diseases (I60-I69),Stroke,Colorado,1.988,358
160,Cerebrovascular diseases (I60-I69),Stroke,Connecticut,1.403,278
161,Cerebrovascular diseases (I60-I69),Stroke,Delaware,571,462
162,Cerebrovascular diseases (I60-I69),Stroke,District of Columbia,246,359
163,Cerebrovascular diseases (I60-I69),Stroke,Florida,12.602,389
164,Cerebrovascular diseases (I60-I69),Stroke,Georgia,4.399,435
165,Cerebrovascular diseases (I60-I69),Stroke,Hawaii,764,375
166,Cerebrovascular diseases (I60-I69),Stroke,Idaho,726,385
167,Cerebrovascular diseases (I60-I69),Stroke,Illinois,6.02,389
168,Cerebrovascular diseases (I60-I69),Stroke,Indiana,3.15,402
169,Cerebrovascular diseases (I60-I69),Stroke,Iowa,1.416,328
170,Cerebrovascular diseases (I60-I69),Stroke,Kansas,1.355,377
171,Cerebrovascular diseases (I60-I69),Stroke,Kentucky,2.05,394
172,Cerebrovascular diseases (I60-I69),Stroke,Louisiana,2.46,474
173,Cerebrovascular diseases (I60-I69),Stroke,Maine,736,375
174,Cerebrovascular diseases (I60-I69),Stroke,Maryland,2.82,402
175,Cerebrovascular diseases (I60-I69),Stroke,Massachusetts,2.367,265
176,Cerebrovascular diseases (I60-I69),Stroke,Michigan,5.002,393
177,Cerebrovascular diseases (I60-I69),Stroke,Minnesota,2.25,326
178,Cerebrovascular diseases (I60-I69),Stroke,Mississippi,1.723,511
179,Cerebrovascular diseases (I60-I69),Stroke,Missouri,3.159,410
180,Cerebrovascular diseases (I60-I69),Stroke,Montana,487,356
181,Cerebrovascular diseases (I60-I69),Stroke,Nebraska,760,315
182,Cerebrovascular diseases (I60-I69),Stroke,Nevada,1.137,359
183,Cerebrovascular diseases (I60-I69),Stroke,New Hampshire,514,289
184,Cerebrovascular diseases (I60-I69),Stroke,New Jersey,3.474,302
185,Cerebrovascular diseases (I60-I69),Stroke,New Mexico,878,348
186,Cerebrovascular diseases (I60-I69),Stroke,New York,6.264,246
187,Cerebrovascular diseases (I60-I69),Stroke,North Carolina,5.098,430
188,Cerebrovascular diseases (I60-I69),Stroke,North Dakota,337,354
189,Cerebrovascular diseases (I60-I69),Stroke,Ohio,6.425,428
190,Cerebrovascular diseases (I60-I69),Stroke,Oklahoma,1.947,433
191,Cerebrovascular diseases (I60-I69),Stroke,Oregon,2.066,399
192,Cerebrovascular diseases (I60-I69),Stroke,Pennsylvania,6.7,365
193,Cerebrovascular diseases (I60-I69),Stroke,Rhode Island,425,294
194,Cerebrovascular diseases (I60-I69),Stroke,South Carolina,2.691,449
195,Cerebrovascular diseases (I60-I69),Stroke,South Dakota,414,367
196,Cerebrovascular diseases (I60-I69),Stroke,Tennessee,3.519,450
197,Cerebrovascular diseases (I60-I69),Stroke,Texas,10.79,413
198,Cerebrovascular diseases (I60-I69),Stroke,Utah,888,362
199,Cerebrovascular diseases (I60-I69),Stroke,Vermont,249,289
200,Cerebrovascular diseases (I60-I69),Stroke,Virginia,3.555,375
201,Cerebrovascular diseases (I60-I69),Stroke,Washington,3.028,369
202,Cerebrovascular diseases (I60-I69),Stroke,West Virginia,1.058,418
203,Cerebrovascular diseases (I60-I69),Stroke,Wisconsin,2.513,335
204,Cerebrovascular diseases (I60-I69),Stroke,Wyoming,190,284
205,Chronic lower respiratory diseases (J40-J47),CLRD,Alabama,3.484,578
206,Chronic lower respiratory diseases (J40-J47),CLRD,Alaska,204,359
207,Chronic lower respiratory diseases (J40-J47),CLRD,Arizona,3.802,427
208,Chronic lower respiratory diseases (J40-J47),CLRD,Arkansas,2.517,667
209,Chronic lower respiratory diseases (J40-J47),CLRD,California,13.881,322
210,Chronic lower respiratory diseases (J40-J47),CLRD,Colorado,2.604,456
211,Chronic lower respiratory diseases (J40-J47),CLRD,Connecticut,1.471,304
212,Chronic lower respiratory diseases (J40-J47),CLRD,Delaware,526,408
213,Chronic lower respiratory diseases (J40-J47),CLRD,District of Columbia,137,196
214,Chronic lower respiratory diseases (J40-J47),CLRD,Florida,12.619,390
215,Chronic lower respiratory diseases (J40-J47),CLRD,Georgia,4.866,462
216,Chronic lower respiratory diseases (J40-J47),CLRD,Hawaii,378,190
217,Chronic lower respiratory diseases (J40-J47),CLRD,Idaho,925,473
218,Chronic lower respiratory diseases (J40-J47),CLRD,Illinois,5.732,376
219,Chronic lower respiratory diseases (J40-J47),CLRD,Indiana,4.375,552
220,Chronic lower respiratory diseases (J40-J47),CLRD,Iowa,1.939,465
221,Chronic lower respiratory diseases (J40-J47),CLRD,Kansas,1.832,517
222,Chronic lower respiratory diseases (J40-J47),CLRD,Kentucky,3.48,645
223,Chronic lower respiratory diseases (J40-J47),CLRD,Louisiana,2.467,466
224,Chronic lower respiratory diseases (J40-J47),CLRD,Maine,982,487
225,Chronic lower respiratory diseases (J40-J47),CLRD,Maryland,2.079,299
226,Chronic lower respiratory diseases (J40-J47),CLRD,Massachusetts,2.842,325
227,Chronic lower respiratory diseases (J40-J47),CLRD,Michigan,5.688,443
228,Chronic lower respiratory diseases (J40-J47),CLRD,Minnesota,2.464,363
229,Chronic lower respiratory diseases (J40-J47),CLRD,Mississippi,2.037,583
230,Chronic lower respiratory diseases (J40-J47),CLRD,Missouri,3.94,507
231,Chronic lower respiratory diseases (J40-J47),CLRD,Montana,752,535
232,Chronic lower respiratory diseases (J40-J47),CLRD,Nebraska,1.224,526
233,Chronic lower respiratory diseases (J40-J47),CLRD,Nevada,1.633,500
234,Chronic lower respiratory diseases (J40-J47),CLRD,New Hampshire,755,430
235,Chronic lower respiratory diseases (J40-J47),CLRD,New Jersey,3.227,286
236,Chronic lower respiratory diseases (J40-J47),CLRD,New Mexico,1.143,442
237,Chronic lower respiratory diseases (J40-J47),CLRD,New York,7.258,289
238,Chronic lower respiratory diseases (J40-J47),CLRD,North Carolina,5.54,453
239,Chronic lower respiratory diseases (J40-J47),CLRD,North Dakota,358,383
240,Chronic lower respiratory diseases (J40-J47),CLRD,Ohio,7.312,485
241,Chronic lower respiratory diseases (J40-J47),CLRD,Oklahoma,3.035,659
242,Chronic lower respiratory diseases (J40-J47),CLRD,Oregon,2.088,397
243,Chronic lower respiratory diseases (J40-J47),CLRD,Pennsylvania,6.667,371
244,Chronic lower respiratory diseases (J40-J47),CLRD,Rhode Island,521,362
245,Chronic lower respiratory diseases (J40-J47),CLRD,South Carolina,2.983,479
246,Chronic lower respiratory diseases (J40-J47),CLRD,South Dakota,505,453
247,Chronic lower respiratory diseases (J40-J47),CLRD,Tennessee,4.657,574
248,Chronic lower respiratory diseases (J40-J47),CLRD,Texas,10.65,405
249,Chronic lower respiratory diseases (J40-J47),CLRD,Utah,826,321
250,Chronic lower respiratory diseases (J40-J47),CLRD,Vermont,375,430
251,Chronic lower respiratory diseases (J40-J47),CLRD,Virginia,3.363,349
252,Chronic lower respiratory diseases (J40-J47),CLRD,Washington,3.177,381
253,Chronic lower respiratory diseases (J40-J47),CLRD,West Virginia,1.681,643
254,Chronic lower respiratory diseases (J40-J47),CLRD,Wisconsin,2.834,383
255,Chronic lower respiratory diseases (J40-J47),CLRD,Wyoming,366,538
256,Diabetes mellitus (E10-E14),Diabetes,Alabama,1.173,198
257,Diabetes mellitus (E10-E14),Diabetes,Alaska,130,193
258,Diabetes mellitus (E10-E14),Diabetes,Arizona,2.054,237
259,Diabetes mellitus (E10-E14),Diabetes,Arkansas,1.18,324
260,Diabetes mellitus (E10-E14),Diabetes,California,9.595,221
261,Diabetes mellitus (E10-E14),Diabetes,Colorado,1.017,172
262,Diabetes mellitus (E10-E14),Diabetes,Connecticut,694,145
263,Diabetes mellitus (E10-E14),Diabetes,Delaware,244,191
264,Diabetes mellitus (E10-E14),Diabetes,District of Columbia,138,201
265,Diabetes mellitus (E10-E14),Diabetes,Florida,6.172,202
266,Diabetes mellitus (E10-E14),Diabetes,Georgia,2.348,215
267,Diabetes mellitus (E10-E14),Diabetes,Hawaii,299,159
268,Diabetes mellitus (E10-E14),Diabetes,Idaho,394,203
269,Diabetes mellitus (E10-E14),Diabetes,Illinois,2.927,192
270,Diabetes mellitus (E10-E14),Diabetes,Indiana,2.096,266
271,Diabetes mellitus (E10-E14),Diabetes,Iowa,918,228
272,Diabetes mellitus (E10-E14),Diabetes,Kansas,874,252
273,Diabetes mellitus (E10-E14),Diabetes,Kentucky,1.474,277
274,Diabetes mellitus (E10-E14),Diabetes,Louisiana,1.272,239
275,Diabetes mellitus (E10-E14),Diabetes,Maine,395,198
276,Diabetes mellitus (E10-E14),Diabetes,Maryland,1.439,203
277,Diabetes mellitus (E10-E14),Diabetes,Massachusetts,1.321,151
278,Diabetes mellitus (E10-E14),Diabetes,Michigan,2.798,221
279,Diabetes mellitus (E10-E14),Diabetes,Minnesota,1.312,193
280,Diabetes mellitus (E10-E14),Diabetes,Mississippi,1.164,333
281,Diabetes mellitus (E10-E14),Diabetes,Missouri,1.605,210
282,Diabetes mellitus (E10-E14),Diabetes,Montana,292,216
283,Diabetes mellitus (E10-E14),Diabetes,Nebraska,575,250
284,Diabetes mellitus (E10-E14),Diabetes,Nevada,609,183
285,Diabetes mellitus (E10-E14),Diabetes,New Hampshire,340,192
286,Diabetes mellitus (E10-E14),Diabetes,New Jersey,1.908,169
287,Diabetes mellitus (E10-E14),Diabetes,New Mexico,673,265
288,Diabetes mellitus (E10-E14),Diabetes,New York,4.176,168
289,Diabetes mellitus (E10-E14),Diabetes,North Carolina,2.903,236
290,Diabetes mellitus (E10-E14),Diabetes,North Dakota,194,218
291,Diabetes mellitus (E10-E14),Diabetes,Ohio,3.74,252
292,Diabetes mellitus (E10-E14),Diabetes,Oklahoma,1.398,306
293,Diabetes mellitus (E10-E14),Diabetes,Oregon,1.243,239
294,Diabetes mellitus (E10-E14),Diabetes,Pennsylvania,3.704,211
295,Diabetes mellitus (E10-E14),Diabetes,Rhode Island,275,188
296,Diabetes mellitus (E10-E14),Diabetes,South Carolina,1.535,245
297,Diabetes mellitus (E10-E14),Diabetes,South Dakota,263,249
298,Diabetes mellitus (E10-E14),Diabetes,Tennessee,1.915,240
299,Diabetes mellitus (E10-E14),Diabetes,Texas,5.832,212
300,Diabetes mellitus (E10-E14),Diabetes,Utah,596,229
301,Diabetes mellitus (E10-E14),Diabetes,Vermont,163,192
302,Diabetes mellitus (E10-E14),Diabetes,Virginia,1.967,201
303,Diabetes mellitus (E10-E14),Diabetes,Washington,1.812,216
304,Diabetes mellitus (E10-E14),Diabetes,West Virginia,864,340
305,Diabetes mellitus (E10-E14),Diabetes,Wisconsin,1.433,194
306,Diabetes mellitus (E10-E14),Diabetes,Wyoming,121,181
307,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Alabama,13.11,2232
308,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Alaska,814,1350
309,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Arizona,12.398,1419
310,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Arkansas,8.27,2238
311,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,California,62.797,1429
312,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Colorado,7.06,1227
313,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Connecticut,7.138,1416
314,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Delaware,1.99,1584
315,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,District of Columbia,1.284,1898
316,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Florida,46.44,1458
317,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Georgia,18.389,1758
318,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Hawaii,2.575,1298
319,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Idaho,3.084,1625
320,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Illinois,25.394,1633
321,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Indiana,14.445,1832
322,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Iowa,7.18,1674
323,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Kansas,5.723,1580
324,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Kentucky,10.343,1959
325,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Louisiana,11.26,2144
326,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Maine,2.844,1435
327,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Maryland,11.653,1645
328,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Massachusetts,12.14,1347
329,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Michigan,25.187,1961
330,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Minnesota,8.23,1191
331,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Mississippi,7.944,2316
332,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Missouri,14.82,1911
333,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Montana,2.164,1550
334,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Nebraska,3.581,1493
335,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Nevada,6.417,1993
336,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,New Hampshire,2.721,1497
337,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,New Jersey,18.84,1623
338,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,New Mexico,3.896,1514
339,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,New York,44.092,1712
340,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,North Carolina,18.808,1565
341,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,North Dakota,1.326,1378
342,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Ohio,28.008,1862
343,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Oklahoma,10.772,2372
344,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Oregon,6.942,1340
345,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Pennsylvania,32.312,1760
346,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Rhode Island,2.339,1557
347,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,South Carolina,10.418,1720
348,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,South Dakota,1.71,1501
349,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Tennessee,16.019,2022
350,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Texas,45.346,1692
351,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Utah,3.749,1502
352,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Vermont,1.332,1525
353,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Virginia,14.861,1545
354,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Washington,11.582,1388
355,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,West Virginia,4.849,1920
356,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Wisconsin,11.86,1576
357,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Wyoming,1.001,1489
358,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Alabama,1.176,202
359,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Alaska,66,117
360,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Arizona,876,101
361,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Arkansas,720,198
362,Influenza and pneumonia (J09-J18),Influenza and pneumonia,California,6.34,146
363,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Colorado,577,101
364,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Connecticut,675,131
